,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
433,1211615002,PADCEV 30 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,Astellas Pharma Europe B.V.,19/05/2022,Autorizado,20/05/2022,L01FX13,ENFORTUMAB VEDOTINA,1,SI,SI,Uso Hospitalario,Biológicos,NO,NO,PADCEV
434,1211618001,NUVAXOVID DISPERSION INYECTABLE,Novavax Cz A.S.,03/02/2022,Autorizado,04/02/2022,J07BN04,VACUNA DE PROTEINA RECOMBINANTE DE LA ESPICULA FRENTE A COVID-19 (NOVAVAX),1,NO,SI,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,NUVAXOVID
435,1221625001,PAXLOVID 150 MG + 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Pfizer Europe Ma Eeig,31/01/2022,Autorizado,01/02/2022,J05AE30,"RITONAVIR, NIRMATRELVIR",2,SI,SI,Medicamento Sujeto A Prescripción Médica,,NO,NO,PAXLOVID
436,1221628001,SONDELBAY 20 MICROGRAMOS/80 MICROLITROS SOLUCION INYECTABLE EN PLUMA PRECARGADA,Accord Healthcare S.L.U.,06/06/2022,Autorizado,07/06/2022,H05AA02,TERIPARATIDA,1,SI,SI,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,SONDELBAY
437,1221642001,ORGOVYX 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Accord Healthcare S.L.U.,17/08/2022,Autorizado,18/08/2022,L02BX04,RELUGOLIX,1,SI,SI,Diagnóstico Hospitalario,,NO,NO,ORGOVYX
438,1221645002,VYDURA 75 MG LIOFILIZADO ORAL,Pfizer Europe Ma Eeig,06/06/2022,Autorizado,07/06/2022,N02CD06,RIMEGEPANT SULFATO,1,SI,SI,Medicamento Sujeto A Prescripción Médica,,NO,NO,VYDURA
439,1221651001,EVUSHELD 150 MG +150 MG SOLUCION INYECTABLE,Astrazeneca Ab,31/03/2022,Anulado,30/09/2025,J06BD03,"CILGAVIMAB, TIXAGEVIMAB",2,NO,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,EVUSHELD
440,1221652004,FILSUVEZ GEL,Chiesi Farmaceutici S.P.A.,27/02/2024,Autorizado,28/02/2024,D03AX13,ABEDUL EXTRACTO SECO CORTEZA (5-10 : 1): SOLVENTE DE EXTRACCION: N-HEPTANO 95% (P/P),1,SI,NO,Diagnóstico Hospitalario,,NO,NO,FILSUVEZ
441,1221657001,KINPEYGO 4 MG CAPSULAS DURAS DE LIBERACION MODIFICADA,Stada Arzneimittel Ag,14/10/2022,Autorizado,15/10/2022,A07EA06,BUDESONIDA,1,SI,SI,Medicamento Sujeto A Prescripción Médica,,NO,NO,KINPEYGO
442,1221665004,DABIGATRAN ETEXILATO ACCORD 75 MG CAPSULAS DURAS EFG,Accord Healthcare S.L.U.,26/07/2023,Autorizado,27/07/2023,B01AE07,DABIGATRAN ETEXILATO MESILATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,DABIGATRAN
443,1221665012,DABIGATRAN ETEXILATO ACCORD 110 MG CAPSULAS DURAS EFG,Accord Healthcare S.L.U.,26/07/2023,Autorizado,27/07/2023,B01AE07,DABIGATRAN ETEXILATO MESILATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,DABIGATRAN
444,1221668001,ROCTAVIAN 2 × 10E13 GENOMAS DE VECTOR/ML SOLUCION PARA PERFUSION,Biomarin International Limited,03/02/2023,Autorizado,04/02/2023,B02BD15,VALOCTOCOGEN ROXAPARVOVEC,1,NO,SI,Uso Hospitalario,Biológicos,SI,NO,ROCTAVIAN
445,1221672002,LIVTENCITY 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Takeda Pharmaceuticals International Ag Ireland Branch,21/11/2022,Autorizado,22/11/2022,J05AX10,MARIBAVIR,1,SI,SI,Diagnóstico Hospitalario,,NO,NO,LIVTENCITY
446,1221685041,"MOUNJARO 12,5 MG SOLUCION INYECTABLE EN VIAL",Eli Lilly Nederland B.V.,09/02/2024,Autorizado,10/02/2024,A10BX16,TIRZEPATIDA,1,NO,SI,Medicamento Sujeto A Prescripción Médica,,SI,NO,MOUNJARO
447,1221685045,MOUNJARO 15 MG SOLUCION INYECTABLE EN VIAL,Eli Lilly Nederland B.V.,09/02/2024,Autorizado,10/02/2024,A10BX16,TIRZEPATIDA,1,NO,SI,Medicamento Sujeto A Prescripción Médica,,SI,NO,MOUNJARO
448,1221688003,SPEVIGO 300 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,Boehringer Ingelheim International Gmbh,28/08/2025,Autorizado,29/08/2025,L04AC22,ESPESOLIMAB,1,NO,SI,Diagnóstico Hospitalario,Biológicos,NO,NO,SPEVIGO
449,1221689001,BEYFORTUS 50 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,Sanofi Winthrop Industrie,27/03/2023,Autorizado,28/03/2023,J06BD08,NIRSEVIMAB,1,SI,SI,Uso Hospitalario,Biológicos,NO,NO,BEYFORTUS
450,42592,MORFINA B. BRAUN 20 mg/ml SOLUCION INYECTABLE,B Braun Medical S.A.,01/06/1966,Autorizado,01/06/1966,N02AA01,MORFINA HIDROCLORURO TRIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Estupefacientes,,SI,NO,MORFINA
451,42643,PROGEVERA 5 mg COMPRIMIDOS,Pfizer S.L.,01/02/1966,Autorizado,01/02/1966,G03DA02,MEDROXIPROGESTERONA ACETATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,PROGEVERA
452,42972,Epistaxol solución cutánea,Medical S.A.,01/04/1966,Suspenso,05/08/2025,B02BC30,"FENAZONA, RUTOSIDO, NAFAZOLINA HIDROCLORURO, EPINEFRINA",4,NO,NO,Sin Receta,,NO,NO,Epistaxol
453,56434,TINTURA DE IODO PEREZ GIMENEZ SOLUCION,Laboratorios Perez Gimenez S.A.,01/10/1984,Anulado,18/12/2020,D08AG03,IODO,1,NO,NO,Sin Receta,,NO,NO,TINTURA
454,56466,"MIRCOL 0,5 mg/ml SOLUCION ORAL",Itf Medilab Farma S.A.,01/03/1985,Anulado,21/01/2021,R06AD07,MEQUITAZINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,MIRCOL
455,56530,DECLOBAN 500 microgramos/g POMADA,Teofarma S.R.L.,01/03/1985,Autorizado,01/03/1985,D07AD01,CLOBETASOL PROPIONATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,DECLOBAN
456,56566,VACUNA ANTIRRABICA MERIEUX,Sanofi Pasteur Europe,01/06/1987,Anulado,15/07/2024,J07BG01,VIRUS RABIA INACTIVADO,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,VACUNA
457,56618,QUOCIN 120 mg/ 60 mg/ ml COLODION,Isdin S.A.,01/11/1985,Anulado,25/04/2025,D11AF,"SALICILICO ACIDO, ACETICO ACIDO",2,NO,NO,Sin Receta,,NO,NO,QUOCIN
458,5060-2012-01-02-03,"YAZ 3 MG / 0,02 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",Bayer Ag,03/03/2020,Autorizado,04/03/2020,G03AA12,"DROSPIRENONA, ETINILESTRADIOL",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,YAZ
459,50745,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,"Glaxosmithkline Consumer Healthcare, S.A.",01/12/1972,Anulado,23/02/2024,N02AJ06,"PARACETAMOL, CODEINA FOSFATO HEMIHIDRATO",2,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TERMALDINA
460,50932,"XYLONOR SPRAY 150 mg + 1,5 mg por gramo, solución para pulverización bucal",Septodont,01/02/1973,Autorizado,01/02/1973,N01BB52,"CETRIMONIO, LIDOCAINA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,XYLONOR
461,19207,TESTEX 25 mg/1 ml SOLUCION INYECTABLE,Desma Laboratorio Farmaceutico S.L.,01/06/1953,Autorizado,01/06/1953,G03BA03,TESTOSTERONA PROPIONATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TESTEX
462,19461,FERMEXAL POLVO ORAL,Laboratorios Ern S.A.,01/07/1953,Anulado,04/12/2023,A07FA01,LACTOBACILLUS ACIDOPHILUS,1,NO,NO,Sin Receta,Biológicos,NO,NO,FERMEXAL
463,196006009,NOVOSEVEN 2 mg (100 KUI) POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Novo Nordisk A/S,04/01/2013,Autorizado,04/01/2013,B02BD08,EPTACOG ALFA ACTIVADO,1,SI,NO,Uso Hospitalario,Biológicos,NO,SI,NOVOSEVEN
464,198067003,MABTHERA 1400 MG SOLUCION PARA INYECCION SUBCUTANEA,Roche Registration Gmbh,11/04/2014,Autorizado,11/04/2014,L01FA01,RITUXIMAB,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,MABTHERA
465,198092029,"PROMETAX 13,3 mg/24 H PARCHE TRANSDERMICO",Almirall S.A.,24/04/2013,Autorizado,24/04/2013,N06DA03,RIVASTIGMINA,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,PROMETAX
466,2033-2009-04,YASNAL 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Krka D.D. Novo Mesto,25/10/2017,Autorizado,26/10/2017,N06DA02,DONEPEZILO HIDROCLORURO,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,YASNAL
467,22007,EFORTIL 10 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION,Opella Healthcare Spain S.L.,01/10/1954,Anulado,02/08/2021,C01CA01,"ETILEFRINA,  HIDROCLORURO DE",1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,EFORTIL
468,22082IP1,LIPOCOMB 10 MG/10 MG CAPSULAS DURAS,Egis Pharmaceuticals Plc.,26/03/2021,Autorizado,27/03/2021,C10BA06,"EZETIMIBA, ROSUVASTATINA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,LIPOCOMB
469,22435,FURACIN 2 mg/ml SOLUCIÓN CUTÁNEA,Seid S.A.,01/12/1954,Autorizado,01/12/1954,D08AF01,NITROFURAL,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,FURACIN
470,2293101IP,LOBIVON 5 MG COMPRIMIDOS,Menarini International Operations Luxembourg S.A.,16/08/2023,Autorizado,17/08/2023,C07AB12,NEBIVOLOL HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,LOBIVON
471,2400111-C,IBIS 20 MG COMPRIMIDOS,Menarini International Operations Luxembourg S.A.,03/08/2016,Autorizado,04/08/2016,R06AX29,BILASTINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,IBIS
472,24245,DOLANTINA 50 mg/ml SOLUCION INYECTABLE,Kern Pharma S.L.,01/07/1955,Autorizado,01/07/1955,N02AB02,PETIDINA HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Estupefacientes,,SI,SI,DOLANTINA
473,24354IP,"TODACITAN 1,5 MG COMPRIMIDOS EFG",Aflofarm Farmacja Polska Sp. Z O.O.,03/08/2023,Autorizado,04/08/2023,N07BA04,CITISINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TODACITAN
474,24354IP2,"TODACITAN 1,5 MG COMPRIMIDOS EFG",Aflofarm Farmacja Polska Sp. Z O.O.,20/09/2024,Autorizado,21/09/2024,N07BA04,CITISINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TODACITAN
475,24379,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION,Bayer Hispania S.L.,01/09/1955,Autorizado,01/09/1955,R05DA09,DEXTROMETORFANO HIDROBROMURO,1,SI,NO,Sin Receta,,NO,NO,PROPALCOF
476,24408,EDEMOX 250 mg COMPRIMIDOS,Chiesi España S.A.U.,01/09/1955,Autorizado,01/09/1955,S01EC01,ACETAZOLAMIDA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,EDEMOX
477,24431,"EFORTIL 7,5 mg/ml SOLUCION ORAL",Sanofi Aventis S.A.,01/09/1955,Anulado,27/11/2020,C01CA01,"ETILEFRINA,  HIDROCLORURO DE",1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,EFORTIL
478,53141,VIAFLEX GLUCOSA BAXTER 20 % SOLUCIÓN PARA PERFUSIÓN,Baxter S.L.,01/12/1976,Autorizado,01/12/1976,B05BA03,GLUCOSA ANHIDRA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,VIAFLEX
479,53172,CUPRIPEN 250 mg CAPSULAS,Laboratorios Rubio S.A.,01/10/1975,Autorizado,01/10/1975,M01CC01,PENICILAMINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CUPRIPEN
480,5324538,LIVAZO 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Kowa Pharmaceutical Europe Gmbh,31/07/2015,Autorizado,31/07/2015,C10AA08,PITAVASTATINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,LIVAZO
481,53265,AMERIDE 5 mg/50 mg COMPRIMIDOS,Pan Quimica Farmaceutica S.A.,01/12/1975,Autorizado,01/12/1975,C03EA01,"HIDROCLOROTIAZIDA, AMILORIDA HIDROCLORURO",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AMERIDE
482,48549,HEPRO POMADA RECTAL,Casen Recordati S.L.,01/09/1969,Anulado,15/09/2021,C05AX,"ALANTOINA, AMINOACRIDINA, LIDOCAINA HIDROCLORURO, HIDROCORTISONA SUCCINATO",4,NO,NO,Sin Receta,,NO,NO,HEPRO
483,48698,TROFALGON CAPSULAS DURAS,Farmasierra Laboratorios S.L.,01/11/1969,Anulado,08/11/2023,B03BA,"CIANOCOBALAMINA, LISOZIMA HIDROCLORURO",2,NO,NO,Sin Receta,,NO,NO,TROFALGON
484,110615030,TEMOZOLOMIDA ACCORD 100 mg CAPSULAS DURAS EFG,Accord Healthcare S.L.U.,27/07/2015,Autorizado,27/07/2015,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
485,110641002,RUCONEST 2100 U POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Pharming Group N.V.,28/03/2019,Autorizado,29/03/2019,B06AC04,CONESTAT ALFA,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,RUCONEST
486,111669004,"TEYSUNO 20 mg/5,8 mg/15,8 mg CAPSULAS DURAS",Nordic Group B.V.,12/11/2012,Autorizado,12/11/2012,L01BC53,"TEGAFUR, GIMERACILO, OTERACILO POTASICO",3,NO,NO,Uso Hospitalario,,SI,NO,TEYSUNO
487,111687013,HIZENTRA 200 MG/ML SOLUCION INYECTABLE SUBCUTÁNEA.,Csl Behring Gmbh,03/09/2013,Autorizado,03/09/2013,J06BA01,INMUNOGLOBULINA HUMANA NORMAL,1,NO,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,HIZENTRA
488,111687014,HIZENTRA 200 MG/ML SOLUCION INYECTABLE SUBCUTÁNEA,Csl Behring Gmbh,03/09/2013,Autorizado,03/09/2013,J06BA01,INMUNOGLOBULINA HUMANA NORMAL,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,HIZENTRA
489,111691014,ELIQUIS 5 MG COMPRIMIDO RECUBIERTO CON PELICULA,Bristol-Myers Squibb/Pfizer Eeig,05/08/2014,Autorizado,05/08/2014,B01AF02,APIXABAN,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ELIQUIS
490,111696003,BYDUREON 2 MG POLVO Y DISOLVENTE PARA SUSPENSION INYECTABLE DE LIBERACION PROLONGADA EN PLUMA PRECARGADA,Astrazeneca Ab,20/10/2014,Autorizado,20/10/2014,A10BJ01,EXENATIDA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,BYDUREON
491,111697022,Temozolomida SUN 180 mg capsulas duras EFG,Sun Pharmaceutical Industries (Europe) B.V.,01/02/2013,Autorizado,01/02/2013,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,Temozolomida
492,111697023,Temozolomida SUN 250 mg capsulas duras EFG,Sun Pharmaceutical Industries (Europe) B.V.,01/02/2013,Autorizado,01/02/2013,L01AX03,TEMOZOLOMIDA,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,Temozolomida
493,111701025,LEVETIRACETAM TEVA 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Teva Pharma B.V.,16/06/2016,Autorizado,17/06/2016,N03AX14,LEVETIRACETAM,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,LEVETIRACETAM
494,111739003,Dasselta 5 mg comprimidos recubiertos con pelicula EFG,Krka D.D. Novo Mesto,12/11/2012,Autorizado,12/11/2012,R06AX27,DESLORATADINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,Dasselta
495,11275901,Acido zoledronico Actavis 4 mg/5 ml concentrado para solucion para perfusion EFG,Actavis Group Ptc Ehf.,08/10/2012,Autorizado,08/10/2012,M05BA08,ACIDO ZOLEDRONICO MONOHIDRATO,1,NO,NO,Uso Hospitalario,,NO,NO,Acido zoledronico
496,112761002,Capecitabina Teva 500 mg comprimidos recubiertos con pelicula EFG,Teva B.V.,31/05/2013,Autorizado,31/05/2013,L01BC06,CAPECITABINA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,Capecitabina
497,112762005,CAPECITABINA ACCORD 150 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Accord Healthcare S.L.U.,16/01/2013,Autorizado,16/01/2013,L01BC06,CAPECITABINA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,CAPECITABINA
498,112762008,CAPECITABINA ACCORD 300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Accord Healthcare S.L.U.,24/04/2013,Autorizado,24/04/2013,L01BC06,CAPECITABINA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,CAPECITABINA
499,112764001,PIXUVRI 29 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,Les Laboratoires Servier,27/11/2012,Anulado,24/07/2024,L01DB11,PIXANTRONA,1,NO,NO,Uso Hospitalario,,NO,NO,PIXUVRI
500,112782008,"KALYDECO 59,5 MG GRANULADO EN SOBRE",Vertex Pharmaceuticals (Ireland) Limited,14/12/2023,Autorizado,15/12/2023,R07AX02,IVACAFTOR,1,SI,NO,Uso Hospitalario,,SI,NO,KALYDECO
501,1161158007,AFSTYLA 3.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Csl Behring Gmbh,11/05/2017,Autorizado,12/05/2017,B02BD02,LONOCTOCOG ALFA,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,AFSTYLA
502,1161160007,FIASP 100 UNIDADES/ML SOLUCION INYECTABLE EN VIAL,Novo Nordisk A/S,14/02/2019,Autorizado,15/02/2019,A10AB05,INSULINA ASPARTA,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Biológicos,SI,NO,FIASP
503,1161160012,FIASP 100 UNIDADES/ML PUMPCART SOLUCION INYECTABLE EN CARTUCHO,Novo Nordisk A/S,25/06/2020,Autorizado,26/06/2020,A10AB05,INSULINA ASPARTA,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Biológicos,SI,SI,FIASP
504,11667001,ESBRIET 267 mg CAPSULAS DURAS,Roche Registration Gmbh,04/11/2011,Autorizado,04/11/2011,L04AX05,PIRFENIDONA,1,NO,NO,Uso Hospitalario,,SI,NO,ESBRIET
505,11672005,XEPLION 150 mg SUSPENSION INYECTABLE DE LIBERACION PROLONGADA,Janssen-Cilag International N.V,22/03/2011,Autorizado,22/03/2011,N05AX13,PALIPERIDONA PALMITATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,XEPLION
506,11687012,HIZENTRA 200 MG/ML SOLUCION INYECTABLE SUBCUTANEA,Csl Behring Gmbh,04/08/2011,Autorizado,04/08/2011,J06BA01,INMUNOGLOBULINA HUMANA NORMAL,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,HIZENTRA
507,11690001IP,"ZOELY 2,5 MG/1,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",Teva B.V.,14/03/2017,Autorizado,15/03/2017,G03AA14,"ESTRADIOL HEMIHIDRATO, NOMEGESTROL ACETATO",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ZOELY
508,11691005,"ELIQUIS 2,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",Bristol-Myers Squibb/Pfizer Eeig,03/06/2011,Autorizado,03/06/2011,B01AF02,APIXABAN,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ELIQUIS
509,11694002,NULOJIX 250 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,Bristol-Myers Squibb Pharma Eeig,02/08/2011,Autorizado,02/08/2011,L04AA28,BELATACEPT,1,SI,NO,Uso Hospitalario,,NO,NO,NULOJIX
510,11697006,TEMOZOLOMIDA SUN 100 mg CAPSULAS DURAS EFG,Sun Pharmaceutical Industries (Europe) B.V.,10/10/2011,Autorizado,10/10/2011,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
511,11702001,LEVETIRACETAM RATIOPHARM 100 MG/ML SOLUCION ORAL EFG,Ratiopharm Gmbh,28/09/2011,Autorizado,28/09/2011,N03AX14,LEVETIRACETAM,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,LEVETIRACETAM
512,11709004,BUCCOLAM 10 MG SOLUCION BUCAL,Neuraxpharm Pharmaceuticals S.L.,24/02/2012,Autorizado,24/02/2012,N05CD08,MIDAZOLAM HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Psicótropos,,SI,NO,BUCCOLAM
513,11710002,"VOTUBIA 2,5 MG COMPRIMIDOS",Novartis Europharm Limited,28/09/2011,Autorizado,28/09/2011,L01EG02,EVEROLIMUS,1,SI,NO,Diagnóstico Hospitalario,Medicamentos con principios activos de estrecho margen terapéutico,SI,NO,VOTUBIA
514,1171173002,LOKELMA 5 G POLVO PARA SUSPENSION ORAL,Astrazeneca Ab,04/10/2018,Autorizado,05/10/2018,V03AE10,CICLOSILICATO DE SODIO Y ZIRCONIO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,LOKELMA
515,1171184001,RIXIMYO 100 MG CONCENTRADO PARA SOLUCION PARA PERFUSION,Sandoz Gmbh,26/07/2017,Autorizado,27/07/2017,L01FA01,RITUXIMAB,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,RIXIMYO
516,54302,CEFALEXINA NORMON 500 mg CAPSULAS DURAS,Laboratorios Normon S.A.,01/09/1978,Autorizado,01/09/1978,J01DB01,CEFALEXINA MONOHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CEFALEXINA
517,54528,TRANDATE 200 mg COMPRIMIDOS RECUBIERTOS,Kern Pharma S.L.,01/12/1978,Autorizado,01/12/1978,C07AG01,LABETALOL HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,TRANDATE
518,54553,DOXIUM FUERTE 500 mg CAPSULAS DURAS,Esteve Pharmaceuticals S.A.,01/03/1979,Autorizado,01/03/1979,C05BX01,DOBESILATO DE CALCIO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,DOXIUM
519,54556,PODERTONIC NIÑOS 500 mg SOLUCION ORAL,Inkeysa S.A.,01/06/1978,Anulado,26/10/2021,B03AB93,FERROCOLINATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,PODERTONIC
520,55339,ELDICET 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Viatris Healthcare Limited,01/12/1980,Autorizado,01/12/1980,A03AX04,PINAVERIO BROMURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ELDICET
521,55398,ANACLOSIL 500 mg CAPSULAS,"Laboratorio Reig Jofre, S.A.",01/06/1981,Autorizado,01/06/1981,J01CF02,CLOXACILINA SODICA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ANACLOSIL
522,55464,TIADIPONA,Mylan Ire Healthcare Limited,01/07/1980,Anulado,19/06/2024,N05BA24,BENTAZEPAM,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TIADIPONA
523,55534,CREMA CONTRACEPTIVA LANZAS,"Itai Pharma, S.L.",01/06/1981,Anulado,20/03/2021,G02BB,BENZALCONIO CLORURO,1,NO,NO,Sin Receta,,NO,NO,CREMA
524,55626,ENISON 5 MG POLVO PARA SOLUCIoN INYECTABLE,Laboratorio Stada S.L.,01/09/1981,Suspenso,04/12/2024,L01CA03,VINDESINA SULFATO,1,NO,NO,Uso Hospitalario,,SI,NO,ENISON
525,55637,"MINURIN 0, 1 MILIGRAMOS/MILILITRO GOTAS NASALES EN SOLUCION",Ferring S.A.,01/01/1982,Anulado,25/09/2023,H01BA02,DESMOPRESINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,MINURIN
526,55730,DURACEF 500 MG CÁPSULAS DURAS,Exeltis Healthcare S.L.,01/06/1981,Autorizado,20/01/2015,J01DB05,CEFADROXILO MONOHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,DURACEF
527,40625,CALCIUMOSTEO 500 mg COMPRIMIDOS EFERVESCENTES,Haleon Spain S.A.,01/03/1965,Suspenso,26/08/2022,A12AX,"CALCIO CARBONATO, LACTOGLUCONATO CALCIO",2,NO,NO,Sin Receta,,NO,NO,CALCIUMOSTEO
528,407190000IP,ANAGASTRA 40 MG COMPRIMIDOS GASTRORRESISTENTES,Takeda Gmbh,04/08/2023,Autorizado,05/08/2023,A02BC02,PANTOPRAZOL SODICO SESQUIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ANAGASTRA
529,40935,GLUCOSA B.BRAUN 50% SOLUCIÓN PARA PERFUSIÓN,B Braun Medical S.A.,01/05/1965,Autorizado,01/05/1965,B05BA03,GLUCOSA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,SI,GLUCOSA
530,4105707462008,CELESTODERM 1 MG/G + 1 MG/G CREMA,Organon N.V.,09/05/2025,Autorizado,10/05/2025,D07CC01,"GENTAMICINA, BETAMETASONA 17-VALERATO",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CELESTODERM
531,41198,TERRAMICINA POMADA OFTALMICA ESTERIL,Farmasierra Laboratorios S.L.,01/07/1965,Autorizado,01/07/1965,S01AA04,OXITETRACICLINA HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TERRAMICINA
532,52371,AMOXICILINA ARDINE 500 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG,"Laboratorio Reig Jofre, S.A.",01/05/1974,Autorizado,01/05/1974,J01CA04,AMOXICILINA TRIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AMOXICILINA
