,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
10678,63007,NORMOFUNDINA CON POTASIO SOLUCIÓN PARA PERFUSIÓN,B Braun Medical S.A.,17/04/2000,Autorizado,17/04/2000,B05BB02,"GLUCOSA MONOHIDRATO, CLORURO DE POTASIO, SODIO CLORURO, CALCIO CLORURO DIHIDRATO, ACETATO SODIO TRIHIDRATO, MAGNESIO CLORURO HEXAHIDRATO",6,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,NORMOFUNDINA
10679,63048,EMCONCOR COR 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Merck S.L.,24/04/2000,Autorizado,24/04/2000,C07AB07,BISOPROLOL FUMARATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,EMCONCOR
10680,63056,SEROQUEL 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Cheplapharm Arzneimittel Gmbh,13/04/2000,Autorizado,13/04/2000,N05AH04,QUETIAPINA FUMARATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,SEROQUEL
10681,63063,ALDOCUMAR 3 mg COMPRIMIDOS,Laboratorio Aldo Union S.L.,22/05/2000,Autorizado,22/05/2000,B01AA03,WARFARINA SODICA,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Medicamentos con principios activos de estrecho margen terapéutico,NO,NO,ALDOCUMAR
10682,63064,ALDOCUMAR 5 mg COMPRIMIDOS,Laboratorio Aldo Union S.L.,22/05/2000,Autorizado,22/05/2000,B01AA03,WARFARINA SODICA,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Medicamentos con principios activos de estrecho margen terapéutico,NO,NO,ALDOCUMAR
10683,62283,CLORURO SODICO SERRA PAMIES 9 mg/ml DISOLVENTE PARA USO PARENTERAL,Laboratorios Serra Pamies S.A.,03/04/2001,Autorizado,03/04/2001,B05BB01,SODIO CLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CLORURO
10684,62294,ACICLOVIR MABO 200 mg COMPRIMIDOS EFG,Mabo Farma S.A.,01/11/1998,Autorizado,01/11/1998,J05AB01,ACICLOVIR,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ACICLOVIR
10685,62301,CIPROFLOXACINO NORMON 750 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Laboratorios Normon S.A.,01/10/1998,Autorizado,01/10/1998,J01MA02,CIPROFLOXACINO HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CIPROFLOXACINO
10686,62305,CAPTOPRIL CINFA 50 mg COMPRIMIDOS EFG,Laboratorios Cinfa S.A.,01/11/1998,Autorizado,01/11/1998,C09AA01,CAPTOPRIL,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,CAPTOPRIL
10687,62338,AMOXICILINA SANDOZ 500 mg CAPSULAS DURAS EFG,Sandoz Farmaceutica S.A.,01/12/1998,Autorizado,01/12/1998,J01CA04,AMOXICILINA TRIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AMOXICILINA
10688,62339,AMOXICILINA SANDOZ 750 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Sandoz Farmaceutica S.A.,01/12/1998,Autorizado,01/12/1998,J01CA04,AMOXICILINA TRIHIDRATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AMOXICILINA
10689,62374,BRISTACOL 40 mg COMPRIMIDOS,Exeltis Healthcare S.L.,01/01/1999,Anulado,03/08/2023,C10AA03,PRAVASTATINA SODICA,1,NO,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,BRISTACOL
